ID;turnover
1;398 209,00
2;302 959,50
3;276 799,40
4;681 334,30
5;207 733,20
6;237 322,40
7;135 775,20
8;260 445,30
9;305 829,80
10;3 267 358,90
11;160 518,30
12;246 166,50
13;193 370,90
14;220 208,20
15;289 394,10
16;346 432,80
17;305 775,10
18;6 038 796,70
19;152 913,80
20;179 383,30
21;311 869,10
22;238 252,00
23;224 005,90
24;567 662,20
25;191 400,80
26;136 978,90
27;144 846,20
28;1 924 567,30
29;139 651,50
30;26 232,60
31;334 305,80
32;1 908 464,30
33;194 841,40
34;478 130,20
35;1 157 939,30
36;96 897,00
37;657 564,50
38;30 240,50
39;188 981,00
40;44 185,70
41;133 488,00
42;212 966,40
43;601 330,50
44;1 015 846,50
45;108 490,40
46;116 697,70
47;1 086 401,20
48;265 557,40
49;199 903,70
50;615 914,70
51;236 122,50
52;880 674,10
53;383 838,00
54;255 559,90
55;757 582,50
56;449 078,00
57;224 818,50
58;133 013,20
59;1 227 763,20
60;1 113 530,40
61;684 752,20
62;36 390,50
63;29 661,50
64;103 162,80
65;397 846,00
66;636 026,70
67;473 295,10
68;460 981,70
69;671 856,50
70;400 794,10
71;209 897,40
72;219 448,70
73;280 354,70
74;197 766,60
75;74 835,70
76;509 007,70
77;391 443,80
78;214 996,60
79;40 021,50
80;176 676,00
81;29 247,40
82;11 234,80
